famiglia,L_D,phi_gradi,Nq_immagine,x_pixel,y_pixel,impiego
medio,5,27.0,21.713288913754887,310.25,657.0,controllo
medio,5,27.2,22.45268426159952,319.61999999999995,646.0,controllo
medio,5,27.4,23.181946402678406,328.9899999999999,635.5,controllo
medio,5,27.599999999999998,23.93489494419899,338.3599999999999,625.0,controllo
medio,5,27.799999999999997,24.749941897389004,347.7299999999999,614.0,controllo
medio,5,28.199999999999996,26.343678054399906,366.4699999999998,593.5,controllo
medio,5,28.399999999999995,27.28224459877981,375.83999999999975,582.0,controllo
medio,5,28.599999999999994,28.16837063510286,385.20999999999975,571.5,controllo
medio,5,28.799999999999994,29.171946909957356,394.5799999999997,560.0,controllo
medio,5,28.999999999999993,30.073641119382664,403.94999999999965,550.0,controllo
medio,5,29.199999999999992,31.050431584933754,413.3199999999996,539.5,controllo
medio,5,29.39999999999999,32.107781521816136,422.6899999999996,528.5,controllo
medio,5,29.59999999999999,33.201137041615056,432.0599999999996,517.5,controllo
medio,5,29.79999999999999,34.2273720443444,441.42999999999955,507.5,controllo
medio,5,30.19999999999999,36.598128007019994,460.16999999999945,485.5,controllo
medio,5,30.399999999999988,37.844391790258776,469.5399999999994,474.5,controllo
medio,5,30.599999999999987,39.07357587636796,478.9099999999994,464.0,controllo
medio,5,30.799999999999986,40.28132581565076,488.2799999999994,454.0,controllo
medio,5,30.999999999999986,41.71645969087368,497.64999999999935,442.5,controllo
medio,5,31.199999999999985,43.0714083623975,507.0199999999993,432.0,controllo
medio,5,31.399999999999984,44.47036570378611,516.3899999999992,421.5,controllo
medio,5,31.599999999999984,46.05474573529587,525.7599999999993,410.0,controllo
medio,5,31.799999999999983,47.478281081573925,535.1299999999992,400.0,controllo
medio,5,32.39999999999998,52.8905206040345,563.239999999999,368.0,controllo
medio,5,32.59999999999998,55.32279481366045,572.6099999999991,356.0,controllo
medio,5,32.79999999999998,57.434917749851756,581.9799999999992,346.0,controllo
medio,5,32.99999999999998,59.62767766963381,591.349999999999,336.0,controllo
medio,5,33.199999999999974,62.25304091212994,600.7199999999988,324.5,controllo
medio,5,33.39999999999998,64.62974794584072,610.0899999999989,314.5,controllo
medio,5,33.59999999999998,67.34906068530853,619.459999999999,303.5,controllo
medio,5,33.799999999999976,70.1827891854757,628.8299999999988,292.5,controllo
medio,5,34.199999999999974,76.21295230766742,647.5699999999988,270.5,controllo
medio,5,34.39999999999998,79.12262317925051,656.9399999999989,260.5,controllo
medio,5,34.59999999999997,82.14337995322413,666.3099999999988,250.5,controllo
medio,5,34.79999999999997,85.92090421031173,675.6799999999986,238.5,controllo
medio,5,34.99999999999997,89.20120689733515,685.0499999999987,228.5,controllo
medio,5,35.199999999999974,92.78039490348006,694.4199999999988,218.0,controllo
medio,5,35.39999999999997,96.86544815263454,703.7899999999986,206.5,controllo
medio,10,27.0,16.245047927124716,310.25,739.5,controllo
medio,10,27.2,16.96030556195594,319.61999999999995,728.0,controllo
medio,10,27.4,17.673914642074003,328.9899999999999,717.0,controllo
medio,10,27.599999999999998,18.348672318607615,338.3599999999999,707.0,controllo
medio,10,27.799999999999997,19.15655100408611,347.7299999999999,695.5,controllo
medio,10,28.199999999999996,20.64959907027788,366.4699999999998,673.5,controllo
medio,10,28.399999999999995,21.385298269235566,375.83999999999975,662.0,controllo
medio,10,28.599999999999994,22.046310017122064,385.20999999999975,652.0,controllo
medio,10,28.799999999999994,22.866549103208477,394.5799999999997,640.0,controllo
medio,10,28.999999999999993,23.609253555103873,403.94999999999965,629.5,controllo
medio,10,29.199999999999992,24.376081013071378,413.3199999999996,619.0,controllo
medio,10,29.39999999999999,25.244546459495318,422.6899999999996,607.5,controllo
medio,10,29.59999999999999,26.104190536665676,432.0599999999996,596.5,controllo
medio,10,29.79999999999999,26.91106151861623,441.42999999999955,586.5,controllo
medio,10,30.19999999999999,28.818885080386263,460.16999999999945,564.0,controllo
medio,10,30.399999999999988,29.84563773530878,469.5399999999994,552.5,controllo
medio,10,30.599999999999987,30.861961231145656,478.9099999999994,541.5,controllo
medio,10,30.799999999999986,31.815893165120684,488.2799999999994,531.5,controllo
medio,10,30.999999999999986,32.99961230508171,497.64999999999935,519.5,controllo
medio,10,31.199999999999985,34.071438178727284,507.0199999999993,509.0,controllo
medio,10,31.399999999999984,35.17807690692387,516.3899999999992,498.5,controllo
medio,10,31.599999999999984,36.43139339569515,525.7599999999993,487.0,controllo
medio,10,31.799999999999983,37.671979421113456,535.1299999999992,476.0,controllo
medio,10,32.19999999999998,40.34268380445402,553.8699999999992,453.5,controllo
medio,10,32.39999999999998,41.589661405621115,563.239999999999,443.5,controllo
medio,10,32.59999999999998,43.1370163069854,572.6099999999991,431.5,controllo
medio,10,32.79999999999998,44.53810459136437,581.9799999999992,421.0,controllo
medio,10,32.99999999999998,45.98470015808885,591.349999999999,410.5,controllo
medio,10,33.199999999999974,47.62303255163685,600.7199999999988,399.0,controllo
medio,10,33.799999999999976,53.188608126166166,628.8299999999988,366.5,controllo
medio,10,34.199999999999974,57.975429723301474,647.5699999999988,343.5,controllo
medio,10,34.39999999999998,60.3016870681776,656.9399999999989,333.0,controllo
medio,10,34.59999999999997,62.60389498765671,666.3099999999988,323.0,controllo
medio,10,34.79999999999997,65.48285774812149,675.6799999999986,311.0,controllo
medio,10,34.99999999999997,68.1103497654652,685.0499999999987,300.5,controllo
medio,10,35.199999999999974,70.84326959305747,694.4199999999988,290.0,controllo
medio,10,35.39999999999997,73.96244718367788,703.7899999999986,278.5,controllo
medio,10,35.599999999999966,77.07443556768538,713.1599999999984,267.5,controllo
medio,10,35.79999999999997,80.46796686026138,722.5299999999985,256.0,controllo
medio,10,36.19999999999997,87.0550563296124,741.2699999999985,235.0,controllo
medio,10,36.39999999999996,90.88802708905536,750.6399999999983,223.5,controllo
medio,10,36.599999999999966,94.71216346253271,760.0099999999984,212.5,controllo
medio,20,27.0,12.781472511796292,310.25,803.5,controllo
medio,20,27.2,13.344231442361409,319.61999999999995,792.0,controllo
medio,20,27.4,13.90569330339216,328.9899999999999,781.0,controllo
medio,20,27.599999999999998,14.463657622708096,338.3599999999999,770.5,controllo
medio,20,27.799999999999997,15.157165665103983,347.7299999999999,758.0,controllo
medio,20,28.199999999999996,16.428675990644827,366.4699999999998,736.5,controllo
medio,20,28.399999999999995,17.184180842062347,375.83999999999975,724.5,controllo
medio,20,28.599999999999994,17.873694090869893,385.20999999999975,714.0,controllo
medio,20,28.799999999999994,18.695650930611233,394.5799999999997,702.0,controllo
medio,20,28.999999999999993,19.44581174014974,403.94999999999965,691.5,controllo
medio,20,29.39999999999999,20.934418076088807,422.6899999999996,669.0,controllo
medio,20,29.59999999999999,21.680264741528028,432.0599999999996,657.5,controllo
medio,20,29.79999999999999,22.418535528307405,441.42999999999955,646.5,controllo
medio,20,30.19999999999999,23.971353451615414,460.16999999999945,624.5,controllo
medio,20,30.399999999999988,24.8632143132352,469.5399999999994,612.5,controllo
medio,20,30.599999999999987,25.670770358335073,478.9099999999994,602.0,controllo
medio,20,30.799999999999986,26.544928495038008,488.2799999999994,591.0,controllo
medio,20,30.999999999999986,27.532539930788005,497.64999999999935,579.0,controllo
medio,20,31.199999999999985,28.470096282570122,507.0199999999993,568.0,controllo
medio,20,31.399999999999984,29.439578926476987,516.3899999999992,557.0,controllo
medio,20,31.599999999999984,30.488445519971055,525.7599999999993,545.5,controllo
medio,20,31.799999999999983,31.526658333793108,535.1299999999992,534.5,controllo
medio,20,32.19999999999998,33.76169843250776,553.8699999999992,512.0,controllo
medio,20,32.39999999999998,34.858276828145726,563.239999999999,501.5,controllo
medio,20,32.59999999999998,36.210261602937344,572.6099999999991,489.0,controllo
medio,20,32.79999999999998,37.3863692165267,581.9799999999992,478.5,controllo
medio,20,32.99999999999998,38.65947471340929,591.349999999999,467.5,controllo
medio,20,33.199999999999974,40.03682564801982,600.7199999999988,456.0,controllo
medio,20,33.39999999999998,41.400186249179555,610.0899999999989,445.0,controllo
medio,20,33.59999999999998,42.744862374019476,619.459999999999,434.5,controllo
medio,20,33.799999999999976,44.335196848193405,628.8299999999988,422.5,controllo
medio,20,34.199999999999974,47.550601735872476,647.5699999999988,399.5,controllo
medio,20,34.79999999999997,53.288343500801425,675.6799999999986,366.0,controllo
medio,20,34.99999999999997,55.42653205855174,685.0499999999987,355.5,controllo
medio,20,35.199999999999974,57.75861719769919,694.4199999999988,344.5,controllo
medio,20,35.39999999999997,60.3016870681776,703.7899999999986,333.0,controllo
medio,20,35.599999999999966,62.95672645385404,713.1599999999984,321.5,controllo
medio,20,35.79999999999997,65.85191486053624,722.5299999999985,309.5,controllo
medio,20,36.19999999999997,71.24253763677359,741.2699999999985,288.5,controllo
medio,20,36.39999999999996,74.5187653037218,750.6399999999983,276.5,controllo
medio,20,36.599999999999966,77.65416091116921,760.0099999999984,265.5,controllo
medio,20,36.79999999999997,80.77002504606143,769.3799999999985,255.0,controllo
medio,20,36.999999999999964,84.3262704532075,778.7499999999983,243.5,controllo
medio,20,37.19999999999996,87.8743192821674,788.1199999999982,232.5,controllo
medio,20,37.39999999999996,91.74336159303806,797.4899999999983,221.0,controllo
medio,20,37.599999999999966,95.78275502043054,806.8599999999983,209.5,controllo
medio,50,27.9,10.578104120806902,352.4149999999999,854.0,controllo
medio,50,28.299999999999997,11.595085944660298,371.15499999999986,829.5,controllo
medio,50,28.499999999999996,12.173835561300763,380.52499999999986,816.5,controllo
medio,50,28.699999999999996,12.733673239769761,389.8949999999998,804.5,controllo
medio,50,28.899999999999995,13.294327603182492,399.26499999999976,793.0,controllo
medio,50,29.099999999999994,13.984064883270594,408.6349999999997,779.5,controllo
medio,50,29.299999999999994,14.572447895664338,418.00499999999965,768.5,controllo
medio,50,29.499999999999993,15.242590461533485,427.3749999999997,756.5,controllo
medio,50,29.699999999999992,16.003399258322318,436.74499999999966,743.5,controllo
medio,50,30.29999999999999,18.314330629834192,464.8549999999995,707.5,controllo
medio,50,30.49999999999999,19.15655100408611,474.2249999999995,695.5,controllo
medio,50,30.899999999999988,20.80735004579892,492.9649999999994,671.0,controllo
medio,50,31.099999999999987,21.61436700204059,502.3349999999994,658.5,controllo
medio,50,31.299999999999986,22.418535528307405,511.70499999999936,646.5,controllo
medio,50,31.499999999999986,23.28804261429519,521.0749999999994,634.0,controllo
medio,50,31.699999999999985,24.11774367717393,530.4449999999993,622.5,controllo
medio,50,32.29999999999998,27.075404194288712,558.5549999999992,584.5,controllo
medio,50,32.499999999999986,28.040040510441916,567.9249999999993,573.0,controllo
medio,50,32.69999999999998,29.039044668927765,577.2949999999992,561.5,controllo
medio,50,32.89999999999998,30.211278371098533,586.6649999999988,548.5,controllo
medio,50,33.09999999999998,31.335297372072706,596.0349999999991,536.5,controllo
medio,50,33.29999999999998,32.50113581209978,605.4049999999992,524.5,controllo
